time_s,ag_g_unscaled,ag_g_after_scale,ag_m_per_s2_after_scale
19.21,0.0402228,0.0402228,0.39458566800000006
19.22,0.0462677,0.0462677,0.453886137
19.23,0.05025549,0.05025549,0.4930063569
19.240000000000002,0.05064969,0.05064969,0.4968734589
19.25,0.04658488,0.04658488,0.45699767280000003
19.26,0.03816528,0.03816528,0.37440139680000006
19.27,0.02659327,0.02659327,0.2608799787
19.28,0.01421306,0.01421306,0.1394301186
19.29,0.003691535,0.003691535,0.036213958350000006
19.3,-0.002994013,-0.002994013,-0.029371267529999998
19.31,-0.005045498,-0.005045498,-0.04949633538
19.32,-0.002836561,-0.002836561,-0.02782666341
19.330000000000002,0.002426997,0.002426997,0.023808840570000003
19.34,0.00900035,0.00900035,0.08829343350000002
19.35,0.01472178,0.01472178,0.14442066180000002
19.36,0.01763248,0.01763248,0.1729746288
19.37,0.01664243,0.01664243,0.1632622383
19.38,0.01176427,0.01176427,0.1154074887
19.39,0.003945372,0.003945372,0.038704099320000004
19.400000000000002,-0.005337972,-0.005337972,-0.05236550532
19.41,-0.01462945,-0.01462945,-0.1435149045
19.42,-0.0229287,-0.0229287,-0.224930547
19.43,-0.02986702,-0.02986702,-0.2929954662
19.44,-0.03558141,-0.03558141,-0.3490536321
19.45,-0.04026335,-0.04026335,-0.3949834635000001
19.46,-0.04397939,-0.04397939,-0.4314378159
19.47,-0.04684426,-0.04684426,-0.4595421906
19.48,-0.04907496,-0.04907496,-0.48142535760000005
19.490000000000002,-0.05093463,-0.05093463,-0.49966872030000004
19.5,-0.05261616,-0.05261616,-0.5161645296
19.51,-0.05395931,-0.05395931,-0.5293408311000001
19.52,-0.05440299,-0.05440299,-0.5336933319
19.53,-0.05332939,-0.05332939,-0.5231613159
19.54,-0.0503942,-0.0503942,-0.494367102
19.55,-0.04565817,-0.04565817,-0.4479066477
19.56,-0.03952214,-0.03952214,-0.3877121934
19.57,-0.03252915,-0.03252915,-0.3191109615
19.580000000000002,-0.02517404,-0.02517404,-0.24695733240000003
19.59,-0.01779693,-0.01779693,-0.1745878833
19.6,-0.01055481,-0.01055481,-0.1035426861
19.61,-0.003454716,-0.003454716,-0.03389076396
19.62,0.003557265,0.003557265,0.03489676965
19.63,0.01050465,0.01050465,0.10305061650000001
19.64,0.01736696,0.01736696,0.17036987760000002
19.650000000000002,0.02410604,0.02410604,0.2364802524
19.66,0.03069328,0.03069328,0.30110107680000003
19.67,0.03712463,0.03712463,0.3641926203
19.68,0.04341806,0.04341806,0.4259311686
19.69,0.04955376,0.04955376,0.48612238560000004
19.7,0.05523805,0.05523805,0.5418852705
19.71,0.05965754,0.05965754,0.5852404674
19.72,0.06181385,0.06181385,0.6063938685
19.73,0.06103872,0.06103872,0.5987898432000001
19.740000000000002,0.05724494,0.05724494,0.5615728614000001
19.75,0.05089412,0.05089412,0.4992713172
19.76,0.04279375,0.04279375,0.4198066875
19.77,0.03382516,0.03382516,0.33182481960000004
